gainQuoteHomeConversionFactor,reason,accountBalance,type,halfSpreadCost,instrument,tradeCloseTransactionID,time,pl,baseFinancingHomeConversionCost,accountID,requestID,guaranteedExecutionFeeHomeConversionCost,guaranteedExecutionFee,fullPrice,positionFinancings,takeProfitOnFill,longPositionCloseout,userID,quotePL,plHomeConversionCost,closedTradeID,positionFill,commission,requestedUnits,lossQuoteHomeConversionFactor,quoteGuaranteedExecutionFee,triggerCondition,baseFinancing,triggerMode,stopLossOnFill,id,tradeOpened,financing,baseHomeConversionCost,units,batchID,homeConversionFactors,price,tradeID,orderID,timeInForce,tradesClosed,fullVWAP,homeConversionCost
,ON_FILL,,TAKE_PROFIT_ORDER,,,,2024-07-29T14:30:59.810498598Z,,,101-004-29576199-001,6.12669E+16,,,,,,,29576199,,,,,,,,,DEFAULT,,,,24,,,,,22,,1.08175,23,,GTC,,,
,ON_FILL,,STOP_LOSS_ORDER,,,,2024-07-29T14:30:59.810498598Z,,,101-004-29576199-001,6.12669E+16,,,,,,,29576199,,,,,,,,,DEFAULT,,TOP_OF_BOOK,,25,,,,,22,,1.08031,23,,GTC,,,
0.775607725,STOP_LOSS_ORDER,99998.3945,ORDER_FILL,0.0273,EUR_USD,,2024-07-29T14:37:23.361427509Z,-0.2977,0,101-004-29576199-001,,0,0,"{'closeoutBid': '1.08022', 'closeoutAsk': '1.08047', 'timestamp': '2024-07-29T14:37:23.361427509Z', 'bids': [{'price': '1.08031', 'liquidity': '500000'}, {'price': '1.08030', 'liquidity': '2500000'}, {'price': '1.08029', 'liquidity': '2000000'}, {'price': '1.08028', 'liquidity': '5000000'}, {'price': '1.08025', 'liquidity': '10000000'}, {'price': '1.08022', 'liquidity': '10000000'}], 'asks': [{'price': '1.08038', 'liquidity': '500000'}, {'price': '1.08039', 'liquidity': '500000'}, {'price': '1.08040', 'liquidity': '2000000'}, {'price': '1.08041', 'liquidity': '2000000'}, {'price': '1.08042', 'liquidity': '5000000'}, {'price': '1.08044', 'liquidity': '10000000'}, {'price': '1.08047', 'liquidity': '10000000'}]}",,,,29576199,-0.38,-0.001461434,,,0,-1000,0.783402778,0,,0,,,26,,0,,-1000,26,"{'gainQuoteHome': {'factor': '0.77560772518399'}, 'lossQuoteHome': {'factor': '0.78340277769841'}, 'gainBaseHome': {'factor': '0.83792930'}, 'lossBaseHome': {'factor': '0.84635070'}}",1.08031,,25,,"[{'tradeID': '23', 'units': '-1000', 'realizedPL': '-0.2977', 'financing': '0.0000', 'baseFinancing': '0.00000000000000', 'price': '1.08031', 'guaranteedExecutionFee': '0.0000', 'quoteGuaranteedExecutionFee': '0', 'halfSpreadCost': '0.0273', 'plHomeConversionCost': '-0.00146143357931', 'baseFinancingHomeConversionCost': '0.00000000000000', 'guaranteedExecutionFeeHomeConversionCost': '0.00000000000000', 'homeConversionCost': '-0.00146143357931'}]",1.08031,-0.001461434
,LINKED_TRADE_CLOSED,,ORDER_CANCEL,,,26,2024-07-29T14:37:23.361427509Z,,,101-004-29576199-001,,,,,,,,29576199,,,23,,,,,,,,,,27,,,,,26,,,,24,,,,
,CLIENT_ORDER,,MARKET_ORDER,,EUR_USD,,2024-07-29T14:45:59.838790441Z,,,101-004-29576199-001,9.72957E+16,,,,,"{'price': '1.08140', 'timeInForce': 'GTC'}",,29576199,,,,DEFAULT,,,,,,,,"{'price': '1.07966', 'timeInForce': 'GTC', 'triggerMode': 'TOP_OF_BOOK'}",28,,,,1000,28,,,,,FOK,,,
0.775816365,MARKET_ORDER,99998.3945,ORDER_FILL,0.0312,EUR_USD,,2024-07-29T14:45:59.838790441Z,0,0,101-004-29576199-001,9.72957E+16,0,0,"{'closeoutBid': '1.08029', 'closeoutAsk': '1.08055', 'timestamp': '2024-07-29T14:45:57.858234552Z', 'bids': [{'price': '1.08038', 'liquidity': '500000'}, {'price': '1.08037', 'liquidity': '2500000'}, {'price': '1.08036', 'liquidity': '2000000'}, {'price': '1.08035', 'liquidity': '5000000'}, {'price': '1.08032', 'liquidity': '10000000'}, {'price': '1.08029', 'liquidity': '10000000'}], 'asks': [{'price': '1.08046', 'liquidity': '500000'}, {'price': '1.08047', 'liquidity': '500000'}, {'price': '1.08048', 'liquidity': '2000000'}, {'price': '1.08049', 'liquidity': '2000000'}, {'price': '1.08050', 'liquidity': '5000000'}, {'price': '1.08052', 'liquidity': '10000000'}, {'price': '1.08055', 'liquidity': '10000000'}]}",,,,29576199,0,0,,,0,1000,0.783613515,0,,0,,,29,"{'price': '1.08046', 'tradeID': '29', 'units': '1000', 'guaranteedExecutionFee': '0.0000', 'quoteGuaranteedExecutionFee': '0', 'halfSpreadCost': '0.0312', 'initialMarginRequired': '28.0810', 'guaranteedExecutionFeeHomeConversionCost': '0.00000000000000'}",0,,1000,28,"{'gainQuoteHome': {'factor': '0.77581636535869'}, 'lossQuoteHome': {'factor': '0.78361351475927'}, 'gainBaseHome': {'factor': '0.83821785'}, 'lossBaseHome': {'factor': '0.84664215'}}",1.08046,,28,,,1.08046,0
,ON_FILL,,TAKE_PROFIT_ORDER,,,,2024-07-29T14:45:59.838790441Z,,,101-004-29576199-001,9.72957E+16,,,,,,,29576199,,,,,,,,,DEFAULT,,,,30,,,,,28,,1.0814,29,,GTC,,,
,ON_FILL,,STOP_LOSS_ORDER,,,,2024-07-29T14:45:59.838790441Z,,,101-004-29576199-001,9.72957E+16,,,,,,,29576199,,,,,,,,,DEFAULT,,TOP_OF_BOOK,,31,,,,,28,,1.07966,29,,GTC,,,
0.774596357,TAKE_PROFIT_ORDER,99999.1304,ORDER_FILL,0.0311,EUR_USD,,2024-07-29T14:57:41.983397829Z,0.7359,0,101-004-29576199-001,,0,0,"{'closeoutBid': '1.08132', 'closeoutAsk': '1.08158', 'timestamp': '2024-07-29T14:57:41.983397829Z', 'bids': [{'price': '1.08141', 'liquidity': '500000'}, {'price': '1.08140', 'liquidity': '2500000'}, {'price': '1.08139', 'liquidity': '2000000'}, {'price': '1.08138', 'liquidity': '5000000'}, {'price': '1.08135', 'liquidity': '10000000'}, {'price': '1.08132', 'liquidity': '10000000'}], 'asks': [{'price': '1.08149', 'liquidity': '500000'}, {'price': '1.08150', 'liquidity': '500000'}, {'price': '1.08151', 'liquidity': '2000000'}, {'price': '1.08152', 'liquidity': '2000000'}, {'price': '1.08153', 'liquidity': '5000000'}, {'price': '1.08155', 'liquidity': '10000000'}, {'price': '1.08158', 'liquidity': '10000000'}]}",,,,29576199,0.95,-0.003646005,,,0,-1000,0.782381245,0,,0,,,32,,0,,-1000,32,"{'gainQuoteHome': {'factor': '0.77459635736094'}, 'lossQuoteHome': {'factor': '0.78238124537462'}, 'gainBaseHome': {'factor': '0.83767060'}, 'lossBaseHome': {'factor': '0.84608940'}}",1.08141,,30,,"[{'tradeID': '29', 'units': '-1000', 'realizedPL': '0.7359', 'financing': '0.0000', 'baseFinancing': '0.00000000000000', 'price': '1.08141', 'guaranteedExecutionFee': '0.0000', 'quoteGuaranteedExecutionFee': '0', 'halfSpreadCost': '0.0311', 'plHomeConversionCost': '-0.00364600497517', 'baseFinancingHomeConversionCost': '0.00000000000000', 'guaranteedExecutionFeeHomeConversionCost': '0.00000000000000', 'homeConversionCost': '-0.00364600497517'}]",1.08141,-0.003646005
,LINKED_TRADE_CLOSED,,ORDER_CANCEL,,,32,2024-07-29T14:57:41.983397829Z,,,101-004-29576199-001,,,,,,,,29576199,,,29,,,,,,,,,,33,,,,,32,,,,31,,,,
